Origem;Destino;Peso;Volume;Natureza_Mercadoria;Tipo_Veiculo;Prazo_Entrega
Sao Bernardo do Campo-SP;Guarulhos-SP;22.040.000;1017;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;90.000;7;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;80.000;6;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;2.940.000;35;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;70.000;1;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;250.000;9;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Varzea Paulista-SP;882.900;4;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Atibaia-SP;5.066.100;28;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Atibaia-SP;1.070.100;6;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Varzea Paulista-SP;1.225.800;10;NESTLE;Iveco/ Master / Tran;72
Sao Bernardo do Campo-SP;Sao Paulo-SP;531.200;9;NESTLE;Truck;48
Sao Bernardo do Campo-SP;Franca-SP;8.326.400;78;NESTLE;Caminhao 3/4;72
Sao Bernardo do Campo-SP;Aracatuba-SP;2.137.100;18;NESTLE;Caminhao 3/4;72
Sao Bernardo do Campo-SP;Presidente Prudente-SP;9.191.300;106;NESTLE;Caminhao 3/4;72
Sao Bernardo do Campo-SP;Campinas-SP;43.301.300;403;NESTLE;Truck;48
Sao Bernardo do Campo-SP;Campinas-SP;73.890.000;537;NESTLE;Truck;48
Sao Bernardo do Campo-SP;Jacarei-SP;26.925.480;322;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;786.600;5;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Presidente Prudente-SP;67.620.000;490;NESTLE;Toco;72
Sao Bernardo do Campo-SP;Presidente Prudente-SP;9.732.500;96;NESTLE;Toco;72
Sao Bernardo do Campo-SP;Sao Paulo-SP;12.115.800;178;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Santos-SP;120.000;1;NESTLE;DUCATO;72
Sao Bernardo do Campo-SP;Santos-SP;332.130;4;NESTLE;DUCATO;72
